source_frame,candidate_id,offset_mm,opening_mm,signed_gap_mm
113,candidate_0mm,0.0,44.99152071070773,13.500400651482087
113,candidate_5mm,5.0,44.99152071070773,3.500400651482086
113,candidate_7mm,7.0,44.99152071070773,-0.49959934851791404
114,candidate_0mm,0.0,45.37709175498789,13.853840775405565
114,candidate_5mm,5.0,45.37709175498789,3.853840775405565
114,candidate_7mm,7.0,45.37709175498789,-0.14615922459443492
115,candidate_0mm,0.0,44.30118318703539,12.867591254782443
115,candidate_5mm,5.0,44.30118318703539,2.8675912547824427
115,candidate_7mm,7.0,44.30118318703539,-1.1324087452175575
116,candidate_0mm,0.0,45.227971571223854,13.71714727362186
116,candidate_5mm,5.0,45.227971571223854,3.71714727362186
116,candidate_7mm,7.0,45.227971571223854,-0.28285272637814
117,candidate_0mm,0.0,45.89460971794345,14.328232241448163
117,candidate_5mm,5.0,45.89460971794345,4.3282322414481635
117,candidate_7mm,7.0,45.89460971794345,0.32823224144816304
118,candidate_0mm,0.0,44.92041709470356,13.435222336811602
118,candidate_5mm,5.0,44.92041709470356,3.435222336811603
118,candidate_7mm,7.0,44.92041709470356,-0.5647776631883973
119,candidate_0mm,0.0,44.67505749217858,13.210309367830368
119,candidate_5mm,5.0,44.67505749217858,3.2103093678303667
119,candidate_7mm,7.0,44.67505749217858,-0.7896906321696335
120,candidate_0mm,0.0,44.46399256849133,13.016833187783725
120,candidate_5mm,5.0,44.46399256849133,3.0168331877837242
120,candidate_7mm,7.0,44.46399256849133,-0.9831668122162758
121,candidate_0mm,0.0,44.75203352832689,13.280870734299649
121,candidate_5mm,5.0,44.75203352832689,3.280870734299649
121,candidate_7mm,7.0,44.75203352832689,-0.7191292657003513
122,candidate_0mm,0.0,44.54224848530364,13.088567778195003
122,candidate_5mm,5.0,44.54224848530364,3.088567778195004
122,candidate_7mm,7.0,44.54224848530364,-0.9114322218049965
123,candidate_0mm,0.0,44.633710450834506,13.172407913264975
123,candidate_5mm,5.0,44.633710450834506,3.1724079132649745
123,candidate_7mm,7.0,44.633710450834506,-0.8275920867350257
124,candidate_0mm,0.0,44.109594671194714,12.691968448595158
124,candidate_5mm,5.0,44.109594671194714,2.691968448595159
124,candidate_7mm,7.0,44.109594671194714,-1.3080315514048413
125,candidate_0mm,0.0,44.26083007757002,12.830600904439187
125,candidate_5mm,5.0,44.26083007757002,2.8306009044391875
125,candidate_7mm,7.0,44.26083007757002,-1.1693990955608125
126,candidate_0mm,0.0,46.35514603574312,14.750390532764529
126,candidate_5mm,5.0,46.35514603574312,4.750390532764529
126,candidate_7mm,7.0,46.35514603574312,0.7503905327645287
127,candidate_0mm,0.0,45.746782588021404,14.192724039019625
127,candidate_5mm,5.0,45.746782588021404,4.192724039019624
127,candidate_7mm,7.0,45.746782588021404,0.19272403901962437
128,candidate_0mm,0.0,45.07541740494462,13.577305954532576
128,candidate_5mm,5.0,45.07541740494462,3.5773059545325756
128,candidate_7mm,7.0,45.07541740494462,-0.42269404546742445
129,candidate_0mm,0.0,45.02841567042475,13.53422103122269
129,candidate_5mm,5.0,45.02841567042475,3.53422103122269
129,candidate_7mm,7.0,45.02841567042475,-0.4657789687773101
130,candidate_0mm,0.0,45.26174635985733,13.74810749653589
130,candidate_5mm,5.0,45.26174635985733,3.748107496535891
130,candidate_7mm,7.0,45.26174635985733,-0.251892503464109
131,candidate_0mm,0.0,44.934038669051496,13.447708779963873
131,candidate_5mm,5.0,44.934038669051496,3.447708779963874
131,candidate_7mm,7.0,44.934038669051496,-0.5522912200361264
132,candidate_0mm,0.0,44.287750371467155,12.855277840511562
132,candidate_5mm,5.0,44.287750371467155,2.8552778405115613
132,candidate_7mm,7.0,44.287750371467155,-1.144722159488439
133,candidate_0mm,0.0,43.55866591088503,12.186950418311277
133,candidate_5mm,5.0,43.55866591088503,2.1869504183112762
133,candidate_7mm,7.0,43.55866591088503,-1.8130495816887238
134,candidate_0mm,0.0,43.32432194619134,11.972135117342061
134,candidate_5mm,5.0,43.32432194619134,1.9721351173420614
134,candidate_7mm,7.0,43.32432194619134,-2.027864882657939
135,candidate_0mm,0.0,43.32919020434371,11.97659768731507
135,candidate_5mm,5.0,43.32919020434371,1.9765976873150712
135,candidate_7mm,7.0,43.32919020434371,-2.023402312684929
136,candidate_0mm,0.0,43.231713390109675,11.887243940933864
136,candidate_5mm,5.0,43.231713390109675,1.8872439409338642
136,candidate_7mm,7.0,43.231713390109675,-2.112756059066136
137,candidate_0mm,0.0,43.688842854534485,12.306279283323285
137,candidate_5mm,5.0,43.688842854534485,2.306279283323285
137,candidate_7mm,7.0,43.688842854534485,-1.6937207166767154
138,candidate_0mm,0.0,43.934798143328216,12.531738298050863
138,candidate_5mm,5.0,43.934798143328216,2.531738298050862
138,candidate_7mm,7.0,43.934798143328216,-1.468261701949138
139,candidate_0mm,0.0,43.57186584467175,12.199050357615773
139,candidate_5mm,5.0,43.57186584467175,2.199050357615773
139,candidate_7mm,7.0,43.57186584467175,-1.800949642384227
140,candidate_0mm,0.0,44.9038999908276,13.420081658258628
140,candidate_5mm,5.0,44.9038999908276,3.420081658258628
140,candidate_7mm,7.0,44.9038999908276,-0.5799183417413718
